price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna
"N60,000,000",Luxury 4 Bedroom Maisonette with a Pool,Banana Island,Rent,,Maisonette,4.0,4.0,Omobola Adaramaja,1 year ago,https://cwlagos.com/property/luxury-4-bedroom-maisonette-with-a-pool/,True,True,True,True,True,True,True,,,True,,,True,,,,,,,True,,,,,,,,True,,,,,
"#1,800,000,000",Land Measuring Two Plots of 500 sqm,Banana Island,Sale,sale,,,,Rose,5 months ago,https://cwlagos.com/property/land-measuring-two-plots-of-500-sqm/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,2 Plots of 500 sqm,,,,,,
"$1,500,000",Brand New 5 Bedroom Semi-Detached House with Water View,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/brand-new-5-bedroom-semi-detached-house-with-water-view/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,True,,,,,True,,True,,,
"$20,000,000",A Luxuriously Built Fully Detached Waterfront 6 Bedroom Mansion with Waterfall,Banana Island,Sale,sale,Detached,6.0,6.0,Rose,1 year ago,https://cwlagos.com/property/a-luxuriously-built-fully-detached-waterfront-6-bedroom-mansion-with-waterfall/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,3880 sqm,True,,True,,,
"$20,000,000",A Luxuriously Built Fully Detached Waterfront 6 Bedroom Mansion with Waterfall,Banana Island,Sale,sale,Detached,6.0,6.0,Rose,1 year ago,https://cwlagos.com/property/a-luxuriously-built-fully-detached-waterfront-6-bedroom-mansion-with-waterfall/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,3880 sqm,True,,True,,,
"#1,200,000,000",Luxury 5 Bedroom Semi-Detached House with Ample Parking Space,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/luxury-5-bedroom-semi-detached-house-with-ample-parking-space/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,True,,,,,,,,,,
"$635,000",Luxury 2- & 4-Bedroom Apartments & Maisonettes with Pool,Banana Island,Sale,sale,Apartment,2.0,2.0,admin-cw,11 months ago,https://cwlagos.com/property/luxury-2-4-bedroom-apartments-maisonettes-with-pool/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,,True,,,,
"#30,000,000",2 Bedroom Terraced House,Banana Island,Rent,rent,Terraced,2.0,2.0,Rose,7 months ago,https://cwlagos.com/property/2-bedroom-terraced-house/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,True,,,,,,,,,
"$4,500,000",6 Bedroom Fully Detached Waterfront Duplex + BQ,Banana Island,Sale,sale,Detached,6.0,6.0,admin-cw,7 months ago,https://cwlagos.com/property/6-bedroom-fully-detached-waterfront-duplex-bq/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,,,,True,,True,,,
"#45,000,000",Furnished 2 Bedroom Waterfront Apartment,Banana Island,Rent,rent,Apartment,2.0,2.0,admin-cw,6 months ago,https://cwlagos.com/property/furnished-2-bedroom-waterfront-apartment/,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,,,True,True,True,,,
"#550,000,000","Luxury, Well Maintained 2 Bedroom Upper Floor Apartment",Banana Island,Sale,sale,Apartment,2.0,2.0,Rose,6 months ago,https://cwlagos.com/property/luxury-well-maintained-2-bedroom-upper-floor-apartment/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,True,,,,,,,True,,True,,,
"#40,000,000",2 Bedroom Maisonette,Banana Island,Rent,rent,Maisonette,2.0,2.0,Rose,5 months ago,https://cwlagos.com/property/2-bedroom-maisonette-2/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,,True,,True,,,
"$1,500,000",Brand New 5 Bedroom Semi-Detached House with Water View,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/brand-new-5-bedroom-semi-detached-house-with-water-view/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,True,,,,,True,,True,,,
"$635,000",Luxury 2- & 4-Bedroom Apartments & Maisonettes with Pool,Banana Island,Sale,sale,Apartment,2.0,2.0,admin-cw,11 months ago,https://cwlagos.com/property/luxury-2-4-bedroom-apartments-maisonettes-with-pool/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,,True,,,,
"#1,200,000,000",Luxury 5 Bedroom Semi-Detached House with Ample Parking Space,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/luxury-5-bedroom-semi-detached-house-with-ample-parking-space/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,True,,,,,,,,,,
"#40,000,000",2 Bedroom Maisonette,Banana Island,Rent,rent,Maisonette,2.0,2.0,Rose,5 months ago,https://cwlagos.com/property/2-bedroom-maisonette-2/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,,True,,True,,,
"#30,000,000",2 Bedroom Terraced House,Banana Island,Rent,rent,Terraced,2.0,2.0,Rose,7 months ago,https://cwlagos.com/property/2-bedroom-terraced-house/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,True,,,,,,,,,
"$4,500,000",6 Bedroom Fully Detached Waterfront Duplex + BQ,Banana Island,Sale,sale,Detached,6.0,6.0,admin-cw,7 months ago,https://cwlagos.com/property/6-bedroom-fully-detached-waterfront-duplex-bq/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,,,,True,,True,,,
"#45,000,000",Furnished 2 Bedroom Waterfront Apartment,Banana Island,Rent,rent,Apartment,2.0,2.0,admin-cw,6 months ago,https://cwlagos.com/property/furnished-2-bedroom-waterfront-apartment/,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,,,True,True,True,,,
"#550,000,000","Luxury, Well Maintained 2 Bedroom Upper Floor Apartment",Banana Island,Sale,sale,Apartment,2.0,2.0,Rose,6 months ago,https://cwlagos.com/property/luxury-well-maintained-2-bedroom-upper-floor-apartment/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,True,,,,,,,True,,True,,,
"#1,800,000,000",Land Measuring Two Plots of 500 sqm,Banana Island,Sale,sale,,,,Rose,5 months ago,https://cwlagos.com/property/land-measuring-two-plots-of-500-sqm/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,2 Plots of 500 sqm,,,,,,
"N100,000,000",Luxury 5 Bedroom Detached House,Banana Island,Rent,sale,Detached,5.0,5.0,Adeyemi Fowosire,8 months ago,https://cwlagos.com/property/luxury-5-bedroom-detached-house-with-en-suite-bq/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,,,,,,
"$1,500,000",Luxury 4 Bedroom Maisonette with Swimming Pool,Banana Island,Sale,,Maisonette,4.0,4.0,Rose,1 year ago,https://cwlagos.com/property/luxury-4-bedroom-maisonette-with-swimming-pool-2/,True,True,True,True,True,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,
"$1,500,000",Luxury 4 Bedroom Maisonette with Swimming Pool,Banana Island,Sale,,Maisonette,4.0,4.0,Rose,1 year ago,https://cwlagos.com/property/luxury-4-bedroom-maisonette-with-swimming-pool-2/,True,True,True,True,True,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,
"#1,580,000","Land Measuring 2,242sqm beside Eko Pearl Towers","Beside Eko Pearl Towers at Eko Atlantic City, Victoria Island, Lagos.",Sale,sale,,,,Kemi Adeyinka,8 months ago,https://cwlagos.com/property/land-measuring-2242sqm-beside-eko-pearl-towers/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,"2,242 sqm",,,,,,
"#3,000,000",Land Measuring 8000 sqm in a Strategic Location,"Bourdillon Road, Ikoyi, Lagos.",Sale,sale,,,,Kemi Adeyinka,8 months ago,https://cwlagos.com/property/land-measuring-8000-sqm-in-a-strategic-location/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,8000 sqm,,,,,,
"#2,500,000","13,000 sqm Empty Corner Piece Land","Bourdillon Road, Ikoyi, Lagos.",Sale,sale,,,,Rose,5 months ago,https://cwlagos.com/property/13000-sqm-empty-corner-piece-land/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,"13,000 sqm",,,,,,
"$600,000",Ultra Luxury 3 Bedroom Apartment with 2 Room Boys Quarter,"Bourdillon Road, Ikoyi, Lagos.",Sale,sale,Apartment,3.0,3.0,Ngonadi Uzoma,9 months ago,https://cwlagos.com/property/ultra-luxury-3-bedroom-apartment-with-2-room-boys-quarter/,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,,,True,,,True,,,,
"500,000,000",5 Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"750,000,000",6-Bedroom Semi-Detached Duplex,Chevron,Sale,sale,Semi Detached,6.0,6.0,admin-cw,3 weeks ago,https://cwlagos.com/property/6-bedroom-semi-detached-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"400,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"240,000,000",4-Bedroom Semi-Detached Duplex with BQ,Chevron,Sale,sale,Semi Detached,4.0,4.0,Peter Ogunremi,4 months ago,https://cwlagos.com/property/4-bedroom-semi-detached-duplex-with-bq-9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"400,000,000",5-Bedroom Fully Detached Duplex with BQ,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-with-bq-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-12/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"410,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-22/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"550,000,000",5-Bedroom Detached Duplex with BQ,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-detached-duplex-with-bq-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"380,000,000",5-Bedroom Luxury Duplex,Chevron,Sale,sale,Detached,5.0,5.0,admin-cw,3 weeks ago,https://cwlagos.com/property/5-bedroom-luxury-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"600,000,000",5-Bedroom Semi-Detached Duplex,Chevron,Sale,sale,Semi Detached,5.0,5.0,admin-cw,3 weeks ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"350,000,000",5-Bedroom Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,admin-cw,3 weeks ago,https://cwlagos.com/property/5-bedroom-detached-duplex-12/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"750,000,000",6-Bedroom Detached Duplex,Chevron,Sale,sale,Detached,6.0,6.0,admin-cw,3 weeks ago,https://cwlagos.com/property/6-bedroom-detached-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN10,400,000",Modern 4 Bedroom Detached Duplex,Chevron,Rent,rent,,4.0,4.0,Peter Ogunremi,9 months ago,https://cwlagos.com/property/modern-4-bedroom-detached-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"750,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-21/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"460,000,000",5-Bedroom Smart Home,Chevron toll gate,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,3 months ago,https://cwlagos.com/property/5-bedroom-smart-home/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"240,000,000",4-Bedroom Fully Detached Duplex with BQ,Chevron toll gate,Sale,sale,Detached,4.0,4.0,Peter Ogunremi,3 months ago,https://cwlagos.com/property/4-bedroom-fully-detached-duplex-with-bq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"400,000,000",5-bedroom detached duplex,"Chevron toll gate, lekki Lagos State, Nigeria",Sale,sale,Detached,5.0,5.0,Peter Ogunremi,4 months ago,https://cwlagos.com/property/5-bedroom-detached-duplex-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#80,000,000",2 Bedroom Apartment,"Chevron, Lekki, Lagos.",Sale,sale,Apartment,2.0,2.0,admin-cw,6 months ago,https://cwlagos.com/property/2-bedroom-apartment-11/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,,,,,,,,,,,
"#400,000,000",4 Bedroom Fully Detached Duplex with 1 BQ,"Chevron, Lekki, Lagos.",Sale,sale,Detached,4.0,4.0,admin-cw,6 months ago,https://cwlagos.com/property/4-bedroom-fully-detached-duplex-with-1-bq/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,,True,,,,,,,,,
"#80,000,000",2 Bedroom Apartment,"Chevron, Lekki, Lagos.",Sale,sale,Apartment,2.0,2.0,admin-cw,6 months ago,https://cwlagos.com/property/2-bedroom-apartment-11/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,,,,,,,,,,,
"#90,000,000",3 Bedroom Apartment,"Chevron, Lekki, Lagos.",Sale,sale,Apartment,3.0,3.0,admin-cw,6 months ago,https://cwlagos.com/property/3-bedroom-apartment-7/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,,,,,,,,,,,
"#350,000","Land Measuring 800sqm, 1000sqm & Waterfront sqms","Chevron, Lekki, Lagos.",Sale,sale,,,,Kemi Adeyinka,6 months ago,https://cwlagos.com/property/land-measuring-800sqm-1000sqm-waterfront-sqms/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,,True,,True,,,
"#90,000,000",3 Bedroom Apartment,"Chevron, Lekki, Lagos.",Sale,sale,Apartment,3.0,3.0,admin-cw,6 months ago,https://cwlagos.com/property/3-bedroom-apartment-7/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,,,,,,,,,,,
"#400,000,000",4 Bedroom Fully Detached Duplex with 1 BQ,"Chevron, Lekki, Lagos.",Sale,sale,Detached,4.0,4.0,admin-cw,6 months ago,https://cwlagos.com/property/4-bedroom-fully-detached-duplex-with-1-bq/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,,True,,,,,,,,,
"#350,000","Land Measuring 800sqm, 1000sqm & Waterfront sqms","Chevron, Lekki, Lagos.",Sale,sale,,,,Kemi Adeyinka,6 months ago,https://cwlagos.com/property/land-measuring-800sqm-1000sqm-waterfront-sqms/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,,True,,True,,,
"420,000,000",4-Bedroom Terrace Duplex,"Chevron, Lekki-Epe Expressway, Ikota, Eti Osa, Lagos State, Nigeria",Sale,sale,Terraced,4.0,4.0,Peter Ogunremi,4 months ago,https://cwlagos.com/property/4-bedroom-terrace-duplex-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,000,000",2-Bedroom Apartment,Dideolu estate,Rent,rent,Apartment,2.0,2.0,admin-cw,6 months ago,https://cwlagos.com/property/2-bedroom-apartment-7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$950,000",3 Bedroom Apartment,"Eko Atlantic City, Victoria Island, Lagos.",Sale,sale,Apartment,3.0,3.0,Jennifer Nwagbo,7 months ago,https://cwlagos.com/property/3-bedroom-apartment-2/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,,True,,True,,,True,True,True,,,
"$950,000",3 Bedroom Apartment,"Eko Atlantic City, Victoria Island, Lagos.",Sale,sale,Apartment,3.0,3.0,Jennifer Nwagbo,7 months ago,https://cwlagos.com/property/3-bedroom-apartment-2/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,,True,,True,,,True,True,True,,,
"#60,000,000",Furnished 4 Bedroom Apartment with BQ,"Eko Pearl, Eko Atlantic, Victoria Island, Lagos.",Rent,rent,Apartment,4.0,4.0,admin-cw,6 months ago,https://cwlagos.com/property/furnished-4-bedroom-apartment-with-bq/,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
"#650,000,000","Luxurious 3-, 4- & 5-Bedroom Penthouse Maisonette","IKoyi, Lagos.",Sale,sale,Apartment,3.0,3.0,admin-cw,9 months ago,https://cwlagos.com/property/luxurious-3-4-5-bedroom-penthouse-maisonette/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,True,True,True,,,
"NGN45,000,000",BEACHFRONT LAND – IBEJU LEKKI,Ibeju Lekki,Sale,sale,,,,admin-cw,3 weeks ago,https://cwlagos.com/property/beachfront-land-ibeju-lekki/,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
"300,000,000",3- Bedroom Apartment,"Ibeju Lekki, Lagos State, Nigeria",Sale,sale,Apartment,3.0,3.0,Peter Ogunremi,4 months ago,https://cwlagos.com/property/3-bedroom-apartment-11/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN200,000",Land Measuring 130Hectares- Ibeju Lekki,Ibeju lekki,Sale,sale,,,,admin-cw,3 weeks ago,https://cwlagos.com/property/land-measuring-130hectares-ibeju-lekki/,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,
"12,000,000",3-Bedroom Apartment,Ikate,Rent,rent,Apartment,3.0,3.0,Peter Ogunremi,6 months ago,https://cwlagos.com/property/3-bedroom-apartment-4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"170,000,000",2-Bedroom Apartment,Ikate,Sale,sale,Apartment,2.0,2.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/2-bedroom-apartment-26/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"240,000,000",2 & 3 Bedroom Apartments,Ikate,Sale,sale,Apartment,,,Peter Ogunremi,2 months ago,https://cwlagos.com/property/2-3-bedroom-apartments/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"700,000,000",4-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,4.0,4.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/4-bedroom-semi-detached-duplex-7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN900,000,000","5 Bedroom Detached Duplex  – Ikate, Lekki",Ikate,Sale,sale,Detached,5.0,5.0,admin-cw,4 days ago,https://cwlagos.com/property/5-bedroom-detached-duplex-ikate-lekki/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"280,000,000",4-Bedroom Detached Duplex,Ikate,Sale,sale,Detached,4.0,4.0,admin-cw,2 weeks ago,https://cwlagos.com/property/4-bedroom-detached-duplex-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"325,000,000",4-Bedroom Terrace Duplex with BQ,Ikate,Sale,sale,Terraced,4.0,4.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/4-bedroom-terrace-duplex-with-bq-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"310,000,000",4-Bedroom Semi-Detached Duplex with BQ,Ikate,Sale,sale,Semi Detached,4.0,4.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/4-bedroom-semi-detached-duplex-with-bq-16/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,200,000,000",5-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,5.0,5.0,admin-cw,1 month ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,400,000,000",5-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,5.0,5.0,admin-cw,1 month ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,000,000",Fully Furnished 2-Bedroom Apartment,Ikate,Rent,rent,Apartment,2.0,2.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/fully-furnished-2-bedroom-apartment-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,200,000,000",5-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,5.0,5.0,admin-cw,4 weeks ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
