price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna
"NGN3,400,000",Land Measuring 1580sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,3 weeks ago,https://cwlagos.com/property/land-measuring-1580sqm-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,,,,
"NGN650,000,000",New Development Apartments- Ikoyi,Ikoyi,For Sale,Available for sale,Apartment,2,2,admin-cw,4 weeks ago,https://cwlagos.com/property/new-development-apartments-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN200,000,000",9-BED MANSION FOR COMMERCIAL USE | OLD IKOYI,Ikoyi,commercial,Available for rent,Commercial Space,9,9,admin-cw,4 weeks ago,https://cwlagos.com/property/9-bed-mansion-for-commercial-use-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,
"NGN18,000,000",1 BEDROOM MINI FLAT | OLD IKOYI,Ikoyi,For Rent,Available for rent,Mini Flat,1,1,admin-cw,4 weeks ago,https://cwlagos.com/property/1-bedroom-mini-flat-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN35,000,000",3 BEDROOM APARTMENT + BQ | OLD IKOYI,Ikoyi,,Available for rent,Apartment,3,3,admin-cw,4 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-bq-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$700000,"Residential Development- Banana Island, Ikoyi",Ikoyi,For Sale,Available for sale,Apartment,3,3,admin-cw,4 weeks ago,https://cwlagos.com/property/residential-development-banana-island-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN55,000,000",3-Bedroom Apartment + BQ- Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,4 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-bq-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN30,000,000",3-Bedroom Maisonette+BQ – Old Ikoyi,Ikoyi,For Rent,Available for rent,Maisonette,3,3,admin-cw,4 weeks ago,https://cwlagos.com/property/3-bedroom-maisonettebq-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN3,500,000",Land Measuring 2419sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,4 weeks ago,https://cwlagos.com/property/land-measuring-2419sqm-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,2419,,,,,,
"NGN3,500,000",JOINT VENTURE OPPORTUNITY — IKOYI,Ikoyi,For Sale,Available for sale,,,,admin-cw,4 weeks ago,https://cwlagos.com/property/joint-venture-opportunity-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,,,,,,
"NGN35,000,000",4 BEDROOM TERRACE — IKOYI,Ikoyi,For Rent,Available for rent,Terraced,4,4,admin-cw,4 weeks ago,https://cwlagos.com/property/4-bedroom-terrace-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN1,300,000,000",5 BEDROOM SEMI-DETACHED || OLD IKOYI,Ikoyi,For Sale,Available for sale,Semi Detached,5,5,admin-cw,4 weeks ago,https://cwlagos.com/property/5-bedroom-semi-detached-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN1,500,000,000",5-Bedroom Terrace| Old Ikoyi,Ikoyi,For Sale,Available for sale,Terraced,5,5,admin-cw,4 weeks ago,https://cwlagos.com/property/5-bedroom-terrace-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$125000,4-Bedroom Maisonette |Ikoyi,Ikoyi,For Rent,Available for rent,Maisonette,4,4,admin-cw,4 weeks ago,https://cwlagos.com/property/4-bedroom-maisonette-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN100,000,000",5-Bedroom Fully Detached House| Ikoyi,Ikoyi,For Rent,Available for rent,Detached,5,5,admin-cw,4 weeks ago,https://cwlagos.com/property/5-bedroom-fully-detached-house-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN25,000,000",3-Bedroom Apartment| Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,4 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN50,000,000",4-Bedroom Terrace Duplex+BQ| Old Ikoyi,Ikoyi,For Rent,Available for rent,Terraced,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bedroom-terrace-duplexbq-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN35,000,000",3-Bedroom Apartment| Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,1 month ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN680,000,000",3-Bedroom Apartment| Old Ikoyi,Ikoyi,For Sale,Available for sale,Apartment,3,3,admin-cw,1 month ago,https://cwlagos.com/property/3-bedroom-apartment-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN80,000,000",4-Bedroom Maisonette | Ikoyi,Ikoyi,For Rent,Available for rent,Maisonette,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bedroom-maisonette-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN75,000,000",5-Bed Detached Duplex+2 BQs| Old Ikoyi,Ikoyi,For Rent,Available for rent,Detached,5,5,admin-cw,1 month ago,https://cwlagos.com/property/5-bed-detached-duplex2-bqs-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN220,000",Multiple Office| Old Ikoyi,Ikoyi,For Rent,Available for rent,Commercial Space,,,admin-cw,1 month ago,https://cwlagos.com/property/multiple-office-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,
"NGN20,000,000",4-Bedroom Terrace Duplex+BQ –Ikoyi,Ikoyi,For Rent,Available for rent,Terraced,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bedroom-terrace-duplexbq-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN45,000,000","4 BEDROOM APARTMENT+BQ | BANANA ISLAND, IKOYI",Ikoyi,For Rent,Available for rent,Apartment,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bedroom-apartmentbq-banana-island-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN28,000,000",3 BEDROOM APARTMENT |IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,1 month ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN1,600,000,000",8 UNITS OF 3 & 5-BEDROOM |IKOYI,Ikoyi,For Sale,Available for sale,Apartment,5,5,admin-cw,1 month ago,https://cwlagos.com/property/8-units-of-3-5-bedroom-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN40,000,000",4-BED SEMI-DETACHED DUPLEX |IKOYI,Ikoyi,For Rent,Available for rent,Semi Detached,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bed-semi-detached-duplex-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN20,000,000",3-BEDROOM APARTMENT | IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,1 month ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN2,500,000,000",5-BED FULLY DETACHED DUPLEX | IKOYI,Ikoyi,For Sale,Available for sale,Detached,5,5,admin-cw,1 month ago,https://cwlagos.com/property/5-bed-fully-detached-duplex-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$190000,9-BEDROOM MANSION | OLD IKOYI,Ikoyi,Corporate Lease,Available for rent,,9,9,admin-cw,1 month ago,https://cwlagos.com/property/9-bedroom-mansion-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN45,000,000",FULLY FURNISHED 3-BEDROOM FLAT- IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,1 month ago,https://cwlagos.com/property/fully-furnished-3-bedroom-flat-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN35,000,000",1-BEDROOM APARTMENT- IKOYI,Ikoyi,For Rent,Available for rent,Apartment,1,1,admin-cw,1 month ago,https://cwlagos.com/property/1-bedroom-apartment-ikoyi-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN55,000,000",12 UNITS OF 3-BED APARTMENTS- IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,1 month ago,https://cwlagos.com/property/12-units-of-3-bed-apartments-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN25,000,000",1-BEDROOM APARTMENT- IKOYI,Ikoyi,For Rent,Available for rent,Apartment,1,1,admin-cw,1 month ago,https://cwlagos.com/property/1-bedroom-apartment-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN120,000,000",Land Measuring 3159sqm in Ikoyi,Ikoyi,Corporate Lease,Available for rent,,,,admin-cw,1 month ago,https://cwlagos.com/property/land-measuring-3159sqm-in-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,3159,,,,,,
"NGN150,000,000",4-BED MAISONETTE PENTHOUSE- IKOYI,Ikoyi,For Rent,Available for rent,Maisonette,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bed-maisonette-penthouse-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN40,000,000",4-BEDROOM TERRACE+STUDY & BQ |IKOYI,Ikoyi,For Rent,Available for rent,Terraced,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bedroom-terracestudy-bq-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN750,000,000",3-BEDROOM APARTMENT| IKOYI,Ikoyi,For Sale,Available for sale,Apartment,3,3,admin-cw,1 month ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN4,000,000",SELF-CONTAIN FLAT | OLD IKOYI,Ikoyi,For Rent,Available for rent,Mini Flat,1,1,admin-cw,1 month ago,https://cwlagos.com/property/self-contain-flat-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN55,000,000",4-BED PENTHOUSE MAISONETTE+BQ|IKOYI,Ikoyi,For Rent,Available for rent,Maisonette,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bed-penthouse-maisonettebqikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN6,000,000",1-BEDROOM FLAT| OLD IKOYI,Ikoyi,For Rent,Available for rent,Mini Flat,1,1,admin-cw,1 month ago,https://cwlagos.com/property/1-bedroom-flat-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN30,000,000",4-BED SEMI-DETACHED HOUSE+2 BQs| IKOYI,Ikoyi,For Rent,Available for rent,Semi Detached,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bed-semi-detached-house2-bqs-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$50000,4-BEDROOM APARTMENT| IKOYI,Ikoyi,For Rent,Available for rent,Apartment,4,4,admin-cw,1 month ago,https://cwlagos.com/property/4-bedroom-apartment-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
